date, pm25, pm10, o3, no2, so2, co
2024/11/2, 46, , 32, 14, , 
2024/11/3, 45, , 34, 4, , 
2024/11/4, 27, , 31, 13, , 
2024/11/5, 22, , 31, 22, , 
2024/11/6, 43, , 34, 16, , 
2024/11/7, 33, , 27, 20, , 
2024/11/8, 29, , 31, 21, , 
2024/11/9, 38, , 36, 25, , 
2024/11/10, 60, , 47, 24, , 
2024/11/11, 72, , 39, 21, , 
2024/11/12, 64, , 36, 11, , 
2024/11/13, 26, , 36, 20, , 
2024/11/14, 29, , 32, 17, , 
2024/11/15, 35, , 32, 6, , 
2024/11/16, 24, , 31, 6, , 
2024/11/17, 18, , 29, 14, , 
2024/11/18, 27, , 34, 19, , 
2024/11/19, 45, , , , , 
2024/10/2, 54, , 79, 19, , 
2024/10/3, 51, , 63, 19, , 
2024/10/4, 64, , 74, 15, , 
2024/10/5, 73, , 61, 10, 13, 
2024/10/6, 63, , 8, 12, , 
2024/10/7, 61, , 69, 16, , 
2024/10/8, 59, , 45, 17, , 
2024/10/9, 55, , 53, 12, , 
2024/10/10, 65, , 65, 14, , 
2024/10/11, 81, , 55, 18, , 
2024/10/12, 55, , 56, 17, , 
2024/10/13, 61, , 42, 10, , 
2024/10/14, 59, , 37, 7, , 
2024/10/15, 54, , 40, 7, , 
2024/10/16, 64, , 35, 7, , 
2024/10/17, 74, , 36, 5, , 
2024/10/18, 41, , 36, 7, , 
2024/10/19, 24, , 42, 11, , 
2024/10/20, 28, , 49, 16, , 
2024/10/21, 38, , 46, 16, , 
2024/10/22, 32, , 51, 21, , 
2024/10/23, 33, , 69, 22, , 
2024/10/24, 45, , 63, 23, , 
2024/10/25, 58, , 54, 23, , 
2024/10/26, 62, , 57, 18, , 
2024/10/27, 55, , 57, 19, , 
2024/10/28, 70, , 28, 9, , 
2024/10/29, 43, , 32, 8, , 
2024/10/30, 19, , 37, 17, , 
2024/10/31, 36, , 39, 16, , 
2024/11/1, 32, , 39, 19, , 
2024/7/2, 54, , 57, 9, , 
2024/7/3, 52, , 61, 10, , 
2024/7/4, 46, , 60, 7, , 
2024/7/5, 52, , 62, 9, , 
2024/7/6, 137, , 50, 8, , 
2024/7/7, 62, , 47, 6, , 
2024/7/8, 52, , 48, 7, , 
2024/7/9, 48, , 64, 10, , 
2024/7/10, 49, , 68, 11, , 
2024/7/11, 56, , 64, 11, , 
2024/7/12, 55, , 41, 8, , 
2024/7/13, 63, , 50, 6, , 
2024/7/14, 57, , 45, 6, , 
2024/7/15, 53, , 46, 6, , 
2024/7/16, 41, , 46, 8, , 
2024/7/17, 38, , 54, 8, , 
2024/7/18, 39, , 56, 7, , 
2024/7/19, 47, , 67, 9, , 
2024/7/20, 52, , 60, 10, , 
2024/7/21, 46, , 49, 8, , 
2024/7/22, 49, , 50, 9, , 
2024/7/23, 48, , 53, 8, , 
2024/7/24, 46, , 51, 9, , 
2024/7/25, 47, , 54, 11, , 
2024/7/26, 56, , 56, 9, , 
2024/7/27, 47, , 44, 8, , 
2024/7/28, 56, , 45, 7, , 
2024/7/29, 39, , 44, 9, , 
2024/7/30, 34, , 53, 10, , 
2024/7/31, 42, , 53, 11, , 
2024/8/1, 47, , 57, 12, , 
2024/8/2, 46, , 72, 11, , 
2024/8/3, 49, , 61, 12, , 
2024/8/4, 45, , 61, 11, , 
2024/8/5, 48, , 70, 13, , 
2024/8/6, 49, , 68, 12, , 
2024/8/7, 53, , 42, 10, , 
2024/8/8, 61, , 48, 10, , 
2024/8/9, 57, , 57, 9, , 
2024/8/10, 54, , 73, 9, , 
2024/8/11, 55, , 66, 8, , 
2024/8/12, 59, , 49, 10, , 
2024/8/13, 51, , 57, 11, , 
2024/8/14, 50, , 56, 11, , 
2024/8/15, 55, , 53, 11, , 
2024/8/16, 49, , 62, 12, , 
2024/8/17, 56, , 44, 5, , 
2024/8/18, 56, , 46, 5, , 
2024/8/19, 49, , 58, 10, , 
2024/8/20, 40, , 67, 14, , 
2024/8/21, 35, , 69, 12, , 
2024/8/22, 51, , 46, 7, , 
2024/8/23, 45, , 45, 6, , 
2024/8/24, 44, , 48, 7, , 
2024/8/25, 45, , 47, 6, , 
2024/8/26, 46, , 52, 9, , 
2024/8/27, 48, , 50, 8, , 
2024/8/28, 51, , 56, 6, , 
2024/8/29, 52, , 51, 5, , 
2024/8/30, 55, , 49, 8, , 
2024/8/31, 51, , 54, 9, , 
2024/9/1, 57, , 60, 8, , 
2024/9/2, 59, , 66, 8, , 
2024/9/3, 60, , 56, 12, , 
2024/9/4, 55, , 57, 12, , 
2024/9/5, 43, , 98, 23, , 
2024/9/6, 51, , 29, , , 
2024/9/10, 16, , 49, 14, , 
2024/9/11, 38, , 42, 10, , 
2024/9/12, 45, , 42, 7, , 
2024/9/13, 49, , 45, 6, , 
2024/9/14, 49, , 51, 4, , 
2024/9/15, 54, , 44, 2, , 
2024/9/16, 34, , 35, 2, , 
2024/9/17, 23, , 38, 6, , 
2024/9/18, 31, , 39, 9, , 
2024/9/19, 39, , 36, 7, , 
2024/9/20, 35, , 39, 7, , 
2024/9/21, 33, , 45, 6, , 
2024/9/22, 48, , 48, 6, , 
2024/9/23, 53, , 58, 11, , 
2024/9/24, 53, , 42, 9, , 
2024/9/25, 59, , 37, 7, , 
2024/9/26, 51, , 41, 11, , 
2024/9/27, 41, , 39, 11, , 
2024/9/28, 51, , 51, 9, , 
2024/9/29, 49, , 47, 9, , 
2024/9/30, 46, , 63, 14, , 
2024/10/1, 53, , 61, 16, , 
2024/4/2, 18, , 38, 12, , 
2024/4/3, 24, , 43, 13, , 
2024/4/4, 36, , 32, 3, , 
2024/4/5, 24, , 36, 4, , 
2024/4/6, 18, , 38, 9, , 
2024/4/7, 25, , 38, 10, , 
2024/4/8, 31, , 40, 9, , 
2024/4/9, 25, , 42, 8, , 
2024/4/10, 17, , 48, 17, , 
2024/4/11, 40, , 54, 17, , 
2024/4/12, 53, , 38, 9, , 
2024/4/13, 62, , 41, 4, , 
2024/4/14, 22, , 34, 8, , 
2024/4/15, 28, , 42, 10, , 
2024/4/16, 31, , 49, 13, , 
2024/4/17, 30, , 46, 13, , 
2024/4/18, 36, , 40, 15, , 
2024/4/19, 52, , 44, 6, , 
2024/4/20, 53, , 48, 5, , 
2024/4/21, 54, , 49, 7, , 
2024/4/22, 53, , 46, 8, , 
2024/4/23, 75, , 41, 4, , 
2024/4/24, 28, , 39, 5, , 
2024/4/25, 28, , 33, 3, , 
2024/4/26, 19, , 31, 5, , 
2024/4/27, 25, , 34, 5, , 
2024/5/1, 55, , 43, 5, , 
2024/5/2, 53, , 46, 8, , 
2024/5/3, 55, , 49, 5, , 
2024/5/4, 53, , 37, 3, , 
2024/5/5, 38, , 38, 1, , 
2024/5/6, 14, , 37, 6, , 
2024/5/7, 27, , 45, 10, , 
2024/5/8, 37, , 46, 8, , 
2024/5/9, 42, , 44, 5, , 
2024/5/10, 49, , 39, 5, , 
2024/5/11, 46, , 36, 5, , 
2024/5/12, 42, , 49, 5, , 
2024/5/13, 59, , 37, 6, , 
2024/5/14, 51, , 42, 5, , 
2024/5/15, 49, , 34, 6, , 
2024/5/16, 40, , 40, 3, , 
2024/5/17, 32, , 37, 5, , 
2024/5/18, 38, , 37, 4, , 
2024/5/19, 33, , 42, 3, , 
2024/5/20, 35, , 40, 4, , 
2024/5/21, 30, , 43, 5, , 
2024/5/22, 42, , 44, 5, , 
2024/5/23, 49, , 39, 5, , 
2024/5/24, 45, , 38, 5, , 
2024/5/25, 41, , 32, 3, , 
2024/5/26, 25, , 35, 4, , 
2024/5/27, 30, , 43, 6, , 
2024/5/28, 45, , 40, 6, , 
