Country,City/station,"Annual mean PM10, ug/m3","Annual mean PM 2.5, ug/m3",year
United States of America,"Torrington, CT",9,6,2012
United States of America,"Trenton-Ewing, NJ",15,9,2012
United States of America,"Truckee-Grass Valley, CA",10,6,2012
United States of America,"Tucson, AZ",10,6,2012
United States of America,"Tulsa, OK",16,10,2012
United States of America,"Tupelo, MS",16,10,2012
United States of America,"Tuscaloosa, AL",16,9,2012
United States of America,"Ukiah, CA",12,7,2012
United States of America,"Valdosta, GA",14,9,2012
United States of America,"Vallejo-Fairfield, CA",15,9,2012
United States of America,"Vernal, UT",12,7,2012
United States of America,"Virginia Beach-Norfolk-Newport News, VA-NC",14,8,2012
United States of America,"Visalia-Porterville, CA",25,15,2012
United States of America,"Warner Robins, GA",16,10,2012
United States of America,"Washington-Arlington-Alexandria, DC-VA-MD-WV",19,12,2012
United States of America,"Waterloo-Cedar Falls, IA",16,10,2012
United States of America,"Watertown, SD",18,11,2012
United States of America,"Weirton-Steubenville, WV-OH",20,12,2012
United States of America,"Wenatchee, WA",17,10,2012
United States of America,"Wheeling, WV-OH",20,12,2012
United States of America,"Wichita, KS",16,9,2012
United States of America,"Wilmington, NC",14,9,2012
United States of America,"Winchester, VA-WV",16,10,2012
United States of America,"Winston-Salem, NC",15,9,2012
United States of America,"Worcester, MA",15,9,2012
United States of America,"Yakima, WA",17,10,2012
United States of America,"York-Hanover, PA",20,12,2012
United States of America,"Youngstown-Warren-Boardman, OH-PA",23,14,2012
United States of America,"Yuba City, CA",12,7,2012
United States of America,"Yuma, AZ",14,9,2012
