City or Locality,Measurement Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3)
Dallas-Fort Worth-Arlington (Tx),2018,,,10.34
Dallas-Fort Worth-Arlington (Tx),2019,,,8.8
Daphne-Fairhope-Foley (Al),2010,10.2,,
Daphne-Fairhope-Foley (Al),2011,10,,
Daphne-Fairhope-Foley (Al),2012,9.2,,
Daphne-Fairhope-Foley (Al),2013,8.4,,
Daphne-Fairhope-Foley (Al),2014,8.9,,
Daphne-Fairhope-Foley (Al),2015,8.6,,
Daphne-Fairhope-Foley (Al),2016,7.2,,
Daphne-Fairhope-Foley (Al),2017,7.4,,
Daphne-Fairhope-Foley (Al),2018,7.1,,
Daphne-Fairhope-Foley (Al),2019,7.5,,
Davenport-Moline-Rock Island (Ia-Il),2010,,42.9,15.9
Davenport-Moline-Rock Island (Ia-Il),2011,,41.8,14
Davenport-Moline-Rock Island (Ia-Il),2012,,44.3,
Davenport-Moline-Rock Island (Ia-Il),2013,,30.65,
Davenport-Moline-Rock Island (Ia-Il),2014,,42.9,
Davenport-Moline-Rock Island (Ia-Il),2015,,29.75,11.8
Davenport-Moline-Rock Island (Ia-Il),2016,,35.1,
Davenport-Moline-Rock Island (Ia-Il),2017,,21.8,11.1
Davenport-Moline-Rock Island (Ia-Il),2018,,15.8,11.2
Davenport-Moline-Rock Island (Ia-Il),2019,8.5,32.4,
Dayton (Oh),2011,,19.8,
Dayton (Oh),2013,,18.1,
Dayton (Oh),2017,,11.4,
Dayton (Oh),2018,,12.4,
Decatur (Al),2011,10.5,,
Decatur (Al),2015,8.8,,
Decatur (Al),2017,7.7,,
Decatur (Al),2019,7.6,,
Deltona-Daytona Beach-Ormond Beach (Fl),2011,,15.7,
Deltona-Daytona Beach-Ormond Beach (Fl),2013,,14.5,
Denver-Aurora-Lakewood (Co),2010,5.8,26.3,41.1
Denver-Aurora-Lakewood (Co),2011,5.75,30.7,40
Denver-Aurora-Lakewood (Co),2012,6.45,26.95,40.8
Denver-Aurora-Lakewood (Co),2013,6.65,27.8,38.6
Denver-Aurora-Lakewood (Co),2014,5.6,29.8,38.6
Denver-Aurora-Lakewood (Co),2015,,,37.1
Denver-Aurora-Lakewood (Co),2016,,28.1,35
Denver-Aurora-Lakewood (Co),2017,6.43,28.73,31.65
Denver-Aurora-Lakewood (Co),2018,,27.65,32.15
Denver-Aurora-Lakewood (Co),2019,6.2,29.35,33.05
Des Moines-West Des Moines (Ia),2010,,,16.7
Des Moines-West Des Moines (Ia),2011,,,15.1
Des Moines-West Des Moines (Ia),2012,,21.2,
Des Moines-West Des Moines (Ia),2013,,19.7,13.3
Des Moines-West Des Moines (Ia),2014,,,12.1
Des Moines-West Des Moines (Ia),2015,,,12
Des Moines-West Des Moines (Ia),2017,,14.7,
Detroit-Warren-Dearborn (Mi),2010,9.4,17.4,
Detroit-Warren-Dearborn (Mi),2012,,28.6,28.15
Detroit-Warren-Dearborn (Mi),2013,,22.73,27.1
Detroit-Warren-Dearborn (Mi),2014,,25.4,30.7
Detroit-Warren-Dearborn (Mi),2015,11.3,24.4,27.65
Detroit-Warren-Dearborn (Mi),2016,10.7,22.05,24.9
Detroit-Warren-Dearborn (Mi),2017,,23.2,
Detroit-Warren-Dearborn (Mi),2018,,26.45,23.45
Detroit-Warren-Dearborn (Mi),2019,11,23.03,29.2
Dickinson (Nd),2013,4.7,,
Dickinson (Nd),2016,2.9,,
Dickinson (Nd),2017,4,,
Dickinson (Nd),2019,3.4,,
Dodge City (Ks),2010,,16.9,
Dodge City (Ks),2012,,15,
Dodge City (Ks),2013,,8.4,
Dodge City (Ks),2014,,12.2,
Dodge City (Ks),2017,,19.9,
Dothan (Al),2010,10.3,,
Dothan (Al),2011,10.2,,
Dothan (Al),2013,8.3,,
Dothan (Al),2014,8.7,,
Dothan (Al),2015,7.3,,
Dothan (Al),2016,7.1,,
Dothan (Al),2017,8.6,,
Dothan (Al),2018,7.7,,
Dothan (Al),2019,8.1,,
Dover (De),2010,9.5,,
Dover (De),2014,8.2,,
Dover (De),2018,6.15,,
Duluth (Mn-Wi),2010,,20.2,
Duluth (Mn-Wi),2011,,20.25,
Duluth (Mn-Wi),2012,,12.2,
Duluth (Mn-Wi),2013,,12.6,
Duluth (Mn-Wi),2015,5.5,,
Duluth (Mn-Wi),2016,,11.1,
Duluth (Mn-Wi),2017,,18.35,
Duluth (Mn-Wi),2018,4.3,,
Duluth (Mn-Wi),2019,5.4,26.1,
Durango (Co),2010,,25.3,9.03
Durango (Co),2011,,,8.97
Durango (Co),2012,,,7.2
Durango (Co),2013,,,7.2
Durango (Co),2014,,,6.27
Durango (Co),2015,,,5.77
Durango (Co),2016,,,6.47
Durango (Co),2017,,,6.93
Durango (Co),2018,,20.3,5
Durango (Co),2019,,,5.8
El Centro (Ca),2010,8.53,,17
El Centro (Ca),2011,10.5,,21.6
El Centro (Ca),2012,10.03,,21.65
El Centro (Ca),2013,10.15,,24
El Centro (Ca),2014,7.3,,18.4
El Centro (Ca),2015,11.6,,17.5
El Centro (Ca),2016,11.3,,15.55
El Centro (Ca),2017,11.9,,17.5
El Centro (Ca),2018,11.95,,23.5
El Centro (Ca),2019,10.7,,17.4
El Dorado (Ar),2012,10.9,,
El Dorado (Ar),2016,9,,
El Paso (Tx),2010,,32,25.4
El Paso (Tx),2011,,42.9,27.6
El Paso (Tx),2012,,,31
El Paso (Tx),2013,,34.2,23.85
El Paso (Tx),2014,,31.6,24.1
El Paso (Tx),2015,,24.5,26.2
El Paso (Tx),2016,,28.5,22.9
El Paso (Tx),2017,,,23.7
El Paso (Tx),2018,,,24.05
El Paso (Tx),2019,,32.9,25.6
Elko (Nv),2010,,25.9,
Elko (Nv),2012,,28.2,
Elko (Nv),2014,,25.2,
Erie (Pa),2010,,,14.8
Erie (Pa),2011,,12.3,13.3
Erie (Pa),2012,,,10.9
Erie (Pa),2014,,10.7,
Erie (Pa),2016,,10.3,9.3
Erie (Pa),2017,,9.2,6.2
Erie (Pa),2019,,11.9,
Eugene (Or),2010,,11.7,
Eugene (Or),2012,,13.3,
Eugene (Or),2014,,13.9,
Eugene (Or),2016,4.7,9.9,
Eugene (Or),2017,13.3,,
Eugene (Or),2018,,13.3,
Eureka-Arcata-Fortuna (Ca),2010,5.6,16.7,5
Eureka-Arcata-Fortuna (Ca),2011,6.6,17.7,6.7
Eureka-Arcata-Fortuna (Ca),2012,5.8,15.2,5.2
Eureka-Arcata-Fortuna (Ca),2013,,18,5.8
Eureka-Arcata-Fortuna (Ca),2014,,17.3,4.7
Eureka-Arcata-Fortuna (Ca),2015,5.9,,6
Eureka-Arcata-Fortuna (Ca),2016,,15.3,5.1
Eureka-Arcata-Fortuna (Ca),2017,,18.1,5
Eureka-Arcata-Fortuna (Ca),2018,,18.1,4.7
Eureka-Arcata-Fortuna (Ca),2019,,14.7,4.2
Evanston (Wy),2010,,12.5,
Evanston (Wy),2013,,9.2,
Evanston (Wy),2014,,9,
Evanston (Wy),2015,,9,
Evanston (Wy),2016,,8.35,
Evanston (Wy),2019,,7.07,
Evansville (In-Ky),2010,,19.8,
Evansville (In-Ky),2011,,18.4,
Evansville (In-Ky),2013,11.1,,14.9
Evansville (In-Ky),2014,,,16.9
Evansville (In-Ky),2015,,,15
Evansville (In-Ky),2016,8.9,,15.5
Evansville (In-Ky),2018,,,15.5
Fairbanks (Ak),2010,12.8,,
Fairbanks (Ak),2011,10.4,17.1,
Fairbanks (Ak),2012,11.3,22.7,
Fairbanks (Ak),2013,11.8,22.3,
Fairbanks (Ak),2014,10.35,21.6,
Fairbanks (Ak),2015,12.15,22.9,
Fairbanks (Ak),2016,8.95,20.3,
Fairbanks (Ak),2017,9.05,14.9,
